Compound,Space_Group,Crystal_System,cluster_id,Representative_Compound
Rb2CuRuF6_225,225,cubic,14,BaSrNdSbO6_216
Rb2CuSbCl6_225,225,cubic,26,Cs2DyCuCl6_225
Rb2CuSbI6_225,225,cubic,33,Cs2LiMoI6_225
Rb2DyCuCl6_225,225,cubic,32,Cs2LiLuCl6_225
Rb2ErAuCl6_225,225,cubic,34,Cs2NaHoCl6_225
Rb2EuAgCl6_225,225,cubic,29,Cs2InHgCl6_225
Rb2GaAgCl6_225,225,cubic,26,Cs2DyCuCl6_225
Rb2GaAuBr6_225,225,cubic,65,K2CeCuBr6_225
Rb2GaHgBr6_225,225,cubic,27,Cs2GaHgBr6_225
Rb2GaHgI6_225,225,cubic,143,Rb2InGaI6_225
Rb2GdAgCl6_225,225,cubic,29,Cs2InHgCl6_225
Rb2HgAsCl6_225,225,cubic,34,Cs2NaHoCl6_225
Rb2HgBiBr6_225,225,cubic,43,CsTlBr3_8
Rb2HgPdF6_225,225,cubic,5,Ba2CePaO6_225
