Compound,Space_Group,Crystal_System,cluster_id,Representative_Compound
Na9Sr2Nd9Ti20O60_6,6,monoclinic,126,Na9Sr2Nd9Ti20O60_6
NaAlH8(NF3)2_225,225,cubic,131,NaSc(NF3)2_225
NaAlO3_221,221,cubic,127,NaAlO3_221
NaAsO3_221,221,cubic,111,MgFeO3_221
NaCa4TaTi4O15_1,1,triclinic,124,Na3TbTi2Nb2O12_1
NaCaCeBiO6_216,216,cubic,134,NaSrNdWO6_216
NaCaDyFeO6_216,216,cubic,82,K5Na3Ta5Nb3O24_1
NaCaDySeO6_216,216,cubic,123,Na3SrTa4O12_6
NaCaDyWO6_216,216,cubic,128,NaCaDyWO6_216
NaCaEuSeO6_216,216,cubic,89,KLaHfFeO6_216
NaCaGdSeO6_216,216,cubic,123,Na3SrTa4O12_6
NaCaHfBiO6_216,216,cubic,128,NaCaDyWO6_216
NaCaHfWO6_216,216,cubic,123,Na3SrTa4O12_6
NaCaInWO6_216,216,cubic,82,K5Na3Ta5Nb3O24_1
NaCaLaSeO6_216,216,cubic,89,KLaHfFeO6_216
NaCaLaWO6_216,216,cubic,132,NaSr2OsO6_225
NaCaO3_221,221,cubic,77,K2RbTiF6_139
NaCaPrSeO6_216,216,cubic,89,KLaHfFeO6_216
NaCaTbFeO6_216,216,cubic,82,K5Na3Ta5Nb3O24_1
NaCaTbSeO6_216,216,cubic,123,Na3SrTa4O12_6
NaCaYWO6_216,216,cubic,128,NaCaDyWO6_216
NaCaZrBiO6_216,216,cubic,128,NaCaDyWO6_216
NaCaZrSbO6_216,216,cubic,133,NaSrEuSeO6_216
NaCaZrWO6_216,216,cubic,82,K5Na3Ta5Nb3O24_1
NaCdO3_221,221,cubic,121,Na2NiHgF6_225
NaCeMnWO6_216,216,cubic,89,KLaHfFeO6_216
NaCuF3_14,14,monoclinic,111,MgFeO3_221
NaEu(WO3)2_225,225,cubic,89,KLaHfFeO6_216
NaEuDySeO6_216,216,cubic,89,KLaHfFeO6_216
NaEuHfSbO6_216,216,cubic,89,KLaHfFeO6_216
NaEuHfTiO6_216,216,cubic,89,KLaHfFeO6_216
NaEuHfWO6_216,216,cubic,89,KLaHfFeO6_216
NaEuHfZrO6_216,216,cubic,130,NaPrYSbO6_216
NaEuNbInO6_216,216,cubic,130,NaPrYSbO6_216
NaEuSbWO6_216,216,cubic,130,NaPrYSbO6_216
NaEuTi2O6_31,31,orthorhombic,19,CaHo(FeO3)2_31
NaEuTiSnO6_216,216,cubic,89,KLaHfFeO6_216
NaEuYSbO6_216,216,cubic,130,NaPrYSbO6_216
NaEuZrSbO6_216,216,cubic,133,NaSrEuSeO6_216
NaGeO3_221,221,cubic,111,MgFeO3_221
NaHfCuWO6_216,216,cubic,123,Na3SrTa4O12_6
NaHoTi2O6_31,31,orthorhombic,125,Na7La7Th2Ti18O54_42
NaIn(NF3)2_225,225,cubic,81,K3YbF6_225
NaIn(WO3)2_225,225,cubic,89,KLaHfFeO6_216
NaInO3_221,221,cubic,121,Na2NiHgF6_225
NaLa(RuO3)2_225,225,cubic,159,Sr2HfCrO6_12
NaLa5Mg4(WO6)4_8,8,monoclinic,124,Na3TbTi2Nb2O12_1
NaLaCeNiO6_216,216,cubic,89,KLaHfFeO6_216
NaLaDyFeO6_216,216,cubic,89,KLaHfFeO6_216
NaLaDyMnO6_216,216,cubic,133,NaSrEuSeO6_216
NaLaHf2O6_225,225,cubic,133,NaSrEuSeO6_216
NaLaHfSnO6_216,216,cubic,133,NaSrEuSeO6_216
NaLaHfTiO6_216,216,cubic,89,KLaHfFeO6_216
NaLaInSbO6_216,216,cubic,89,KLaHfFeO6_216
NaLaMgTeO6_8,8,monoclinic,89,KLaHfFeO6_216
NaLaMgWO6_12,12,monoclinic,124,Na3TbTi2Nb2O12_1
NaLaMgWO6_129,129,tetragonal,124,Na3TbTi2Nb2O12_1
NaLaMnWO6_4,4,monoclinic,132,NaSr2OsO6_225
NaLaVSbO6_216,216,cubic,89,KLaHfFeO6_216
NaLaVWO6_216,216,cubic,89,KLaHfFeO6_216
NaLaYSbO6_216,216,cubic,130,NaPrYSbO6_216
NaLaZr2O6_225,225,cubic,130,NaPrYSbO6_216
NaLaZrNbO6_216,216,cubic,130,NaPrYSbO6_216
